Ecosystem condition index accounts,,,,,,,,,
Forest,,,,,,,,,
,Abiotic characteristics,Physical state,Water clarity - turbidity,0.9825,0.985,0.08333333333333333,0.081875,0.08208333333333333,0.00020833333333332427
,,,Average patch size,0.23333333333333334,0,0.08333333333333333,0.019444444444444445,0,-0.019444444444444445
,,Chemical state,Chlorophyll a concentration,0.1282051282051282,0.07692307692307687,0.16666666666666666,0.021367521367521364,0.012820512820512811,-0.008547008547008553
,,Total abiotic,,,,0.33,0.12268696581196581,0.09490384615384614,-0.027783119658119665
,Biotic characteristics,Compositional state,Fish species richness,0.3,0.2,0.16666666666666666,0.049999999999999996,0.03333333333333333,-0.016666666666666663
,,Structural state,Seagrass shoot density,0.284,0.22,0.16666666666666666,0.047333333333333324,0.03666666666666667,-0.010666666666666658
,,Functional state,Biological Oxygen Demand,0.85,0.845,0.16666666666666666,0.14166666666666666,0.1408333333333333,-0.0008333333333333526
,,Total biotic,,,,0.5,0.239,0.21083333333333332,-0.028166666666666673
,Landscape/seascape characteristics,,Seagrass meadow cover,0.5,0.38,0.16666666666666666,0.08333333333333333,0.06333333333333332,-0.020000000000000004
,,Total landscape/seascape,,,,,0.08333333333333333,0.06333333333333332,-0.020000000000000004
,Total,,,,,1,0.4450202991452991,0.36907051282051284,-0.07594978632478627
,"* Changes in index values are derived as the difference between opening and closing index values. Due to rounding, this may differ from the result obtained from weighting the change in indicator values.",,,,,,,,
