Combined condition accounts,,,,,,,,,,,,,,,,,,,,,,
Forest,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,1,0.6707407407407406,0.6117592592592591,-0.058981481481481524,,,,,,,
,"* Changes in index values are derived as the difference between opening and closing index values. Due to rounding, this may differ from the result obtained from weighting the change in indicator values.",,,,,,,,,,,,,,,,,,,,,
Lake,,,,,,,,,,,,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (0 - 1),,Change in indicator (level),Weight in aggregate index,Index values,,,,,,,,,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,,,Opening,Closing,Change*,,,Ecosystem condition account Stage 1,,,,
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,Ecosystem condition account Stage 2,,,,
,Abiotic characteristics,Physical state,Water clarity,m Secchi depth,5,5.5,0.25,10,0.48717948717948717,0.5384615384615384,0.051282051282051266,0.16666666666666666,0.08119658119658119,0.08974358974358973,0.008547008547008544,,,Ecosystem condition account Stage 3,,,,
,,Chemical state,Nitrogen concentration,total N mg/l,1.1,0.9,2,0,0.44999999999999996,0.55,0.10000000000000009,0.08333333333333333,0.03749999999999999,0.04583333333333334,0.008333333333333345,,,,,,,
,,,Chlorophyll a concentration,ug/l,4.2,3.5,35,2,0.9333333333333333,0.9545454545454546,0.021212121212121238,0.08333333333333333,0.07777777777777778,0.07954545454545454,0.0017676767676767652,,,,,,,
,,Total abiotic,,,,,,,,,,0.33,0.19647435897435894,0.21512237762237763,0.018648018648018683,,"Condition variables used in the lake condition account. Lakes in high condition have clear water (water clarity – Secchi disk depth), and low but sufficient levels of nutrients (nitrogen concentration). Chlorophyll concentration is not high because it is kept under control by zooplankton and a diverse fish community (fish species richness) with a high proportion of predatory fish species. Biological oxygen demand is a proxy for the organic pollution of the lake so low values are related to a high condition. The lake shoreline of high condition lakes consists solely of natural vegetation. ",,,,,
,Biotic characteristics,Compositional state,Fish species richness,number,35,34,0,45,0.7777777777777778,0.7555555555555555,-0.022222222222222254,0.16666666666666666,0.12962962962962962,0.1259259259259259,-0.003703703703703709,,,,,,,
,,Structural state,Ratio between biomass of predatory fish and total fish,percentage,12.5,17,0,25,0.5,0.68,0.18000000000000005,0.16666666666666666,0.08333333333333333,0.11333333333333334,0.030000000000000013,,,,,,,
,,Functional state,Biological oxygen demand,mg O2/l,2.5,2.4,25,0,0.9,0.904,0.0040000000000000036,0.16666666666666666,0.15,0.15066666666666667,0.0006666666666666765,,,,,,,
,,Total biotic,,,,,,,,,,0.5,0.36296296296296293,0.3899259259259259,0.026962962962962966,,,,,,,
,Landscape/seascape characteristics,,Share of lake shoreline with natural vegetation,percentage,40,40,0,100,0.4,0.4,0,0.16666666666666666,0.06666666666666667,0.06666666666666667,0,,,,,,,
,,Total landscape/seascape,,,,,,,,,,,0.06666666666666667,0.06666666666666667,0,,,,,,,
,Total,,,,,,,,,,,1,0.6261039886039885,0.6717149702149702,0.04561098161098165,,,,,,,
Cropland,,,,,,,,,,,,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (0 - 1),,Change in indicator (level),Weight in aggregate index,Index values,,,,,,,,,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,,,Opening,Closing,Change*,,,,,,,
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,,,
,Abiotic characteristics,Physical state,Vegetation water content - NDWI,index (-1 to 1),-0.15,-0.13,-1,1,0.425,0.435,0.010000000000000009,0.16666666666666666,0.07083333333333333,0.0725,0.0016666666666666635,,,Ecosystem condition account Stage 1,,,,
,,,,,,,,,,,,,,,,,,Ecosystem condition account Stage 2,,,,
,,Chemical state,Soil organic carbon,g SOC / kg,25.6,24.8,0,40,0.64,0.62,-0.020000000000000018,0.16666666666666666,0.10666666666666666,0.10333333333333333,-0.003333333333333327,,,Ecosystem condition account Stage 3,,,,
,,Total abiotic,,,,,,,,,,0.33,0.1775,0.17583333333333334,-0.0016666666666666496,,,,,,,
,Biotic characteristics,Compositional state,Farmland bird species richness,Farmland bird index,71,70,0,100,0.71,0.7,-0.010000000000000009,0.16666666666666666,0.11833333333333332,0.11666666666666665,-0.0016666666666666635,,"Condition variables used in the cropland condition account: Crops needs healthy soils that can deliver water and nutrients so NDWI (vegetation water content) and soil organic carbon are appropriate variables where higher values relate to better condition. Farmland birds, crop diversity and share of organic farming are positively related to cropland condition. Gross primary production measures productivity, which is an essential function for cropland and it complements other variables. A level of 20% of native vegetation in cropland (trees, forest patches, unmanaged land with herbs and wild flowers) is proposed as upper level for good cropland condition.",,,,,
,,Structural state,Crop diversity,Simpsons diversity index,0.43,0.48,0,1,0.43,0.48,0.04999999999999999,0.08333333333333333,0.03583333333333333,0.039999999999999994,0.004166666666666666,,,,,,,
,,,Share of organic farming,%,7.5,7.6,0,100,0.075,0.076,0.0010000000000000009,0.08333333333333333,0.0062499999999999995,0.006333333333333333,8.33333333333337e-05,,,,,,,
,,Functional state,Gross primary production,kg C/m2,0.92,0.94,0.5,1.3,0.525,0.5499999999999999,0.02499999999999991,0.16666666666666666,0.0875,0.09166666666666665,0.004166666666666652,,,,,,,
,,Total biotic,,,,,,,,,,0.5,0.24791666666666665,0.2546666666666666,0.0067499999999999505,,,,,,,
,Landscape/seascape characteristics,,Share of semi-natural vegetation,%,5.1,4.9,0,20,0.255,0.24500000000000002,-0.009999999999999981,0.16666666666666666,0.042499999999999996,0.04083333333333333,-0.0016666666666666635,,,,,,,
,,Total landscape/seascape,,,,,,,,,,,0.042499999999999996,0.04083333333333333,-0.0016666666666666635,,,,,,,
,Total,,,,,,,,,,,1,0.46791666666666665,0.47133333333333327,0.0034166666666666234,,,,,,,
Urban area,,,,,,,,,,,,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (0 - 1),,Change in indicator (level),Weight in aggregate index,Index values,,,,,,,,,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,,,Opening,Closing,Change*,,,,,,,
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,,,
,Abiotic characteristics,Physical state,Imperviousness (soil sealed per area),%,55,57,0,100,0.55,0.57,0.019999999999999907,0.2,0.11000000000000001,0.11399999999999999,0.003999999999999976,,,Ecosystem condition account Stage 1,,,,
,,,,,,,,,,,,,,,,,,Ecosystem condition account Stage 2,,,,
,,Chemical state,Nitrogen dioxide (NO2) concentration,ug/m3,10.5,12.3,0,40,0.2625,0.3075,0.044999999999999984,0.2,0.052500000000000005,0.0615,0.008999999999999994,,,Ecosystem condition account Stage 3,,,,
,,Total abiotic,,,,,,,,,,0.4,0.16250000000000003,0.1755,0.012999999999999956,,,,,,,
,Biotic characteristics,Compositional state,Bird species richness,Number per sampling day,53,45,0,75,0.7066666666666667,0.6,-0.10666666666666669,0.2,0.14133333333333334,0.12,-0.021333333333333343,,"Condition variables used in the urban ecosystem condition account: imperviousness is a measure for the area of soil sealed by artificial substrate and a key input variable to assess flood risk. Nitrogen dioxide is an air pollutant and can with other pollutants such as particulate matter or ozone, be used as variable for the chemical state of urban systems. Bird species richness is used as indicator for biotic quality of the urban ecosystem. Trees are at the basis of many urban ecosystem services so tree cover is used as condition variable to assess the structural state of urban ecosystems. The account lacks a variable to assess the functional state. Naturalness in the surrounding area expressed as the share of dominant natural land types around the urban area is used as landscape variable. This variable can also be used to map the potential for nature-based recreation in the peri-urban areas. ",,,,,
,,Structural state,Tree cover,%,31,30,0,70,0.44285714285714284,0.42857142857142855,-0.01428571428571429,0.2,0.08857142857142858,0.08571428571428572,-0.0028571428571428636,,,,,,,
,,Functional state,No variable selected,,,,,,,,,,,,,,,,,,,
,,Total biotic,,,,,,,,,,0.4,0.22990476190476192,0.2057142857142857,-0.024190476190476207,,,,,,,
,Landscape/seascape characteristics,,Landscape mosaic - share of dominant natural land types in the surrounding landscape,%,56,52,0,100,0.56,0.52,-0.040000000000000036,0.2,0.11200000000000002,0.10400000000000001,-0.008000000000000007,,,,,,,
,,Total landscape/seascape,,,,,,,,,,,0.11200000000000002,0.10400000000000001,-0.008000000000000007,,,,,,,
,Total,,,,,,,,,,,1,0.5044047619047619,0.4852142857142857,-0.019190476190476202,,,,,,,
Wetland,,,,,,,,,,,,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (0 - 1),,Change in indicator (level),Weight in aggregate index,Index values,,,,,,,,,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,,,Opening,Closing,Change*,,,Ecosystem condition account Stage 1,,,,
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,Ecosystem condition account Stage 2,,,,
,Abiotic characteristics,Physical state,Duration of water inundation/saturation,% time,97,89,0,100,0.97,0.89,-0.07999999999999996,0.16666666666666666,0.16166666666666665,0.14833333333333332,-0.013333333333333336,,,Ecosystem condition account Stage 3,,,,
,,Chemical state,Nitrogen concentration,total N mg/l,0.89,0.99,2,0,0.5549999999999999,0.505,-0.04999999999999993,0.16666666666666666,0.09249999999999999,0.08416666666666667,-0.008333333333333318,,,,,,,
,,Total abiotic,,,,,,,,,,0.33,0.25416666666666665,0.23249999999999998,-0.021666666666666667,,,,,,,
,,,,,,,,,,,,,,,,,Condition variables used in the wetland condition account: Wetlands need to be covered by water all the time (Duration of water inundation) and a minimum amount of vegetation (percent area of vegetation cover). Nitrogen concentration is used as proxy for water quality. A typical group of wetland species are dragonflies and damselflies of which species richness is used as biodiversity measure. Biological oxygen demand is used to measure organic pollution. Intensive land use in the surrounding area results in poor wetland condition. ,,,,,
,Biotic characteristics,Compositional state,Dragonfly and damselfly sepcies richness,number per sampling day,29,26,0,35,0.8285714285714286,0.7428571428571429,-0.08571428571428574,0.16666666666666666,0.1380952380952381,0.12380952380952381,-0.01428571428571429,,,,,,,
,,Structural state,Vegetation cover (native macrophytes),percentage area,30,31,0,50,0.6,0.62,0.020000000000000018,0.16666666666666666,0.09999999999999999,0.10333333333333333,0.003333333333333341,,,,,,,
,,Functional state,Biological oxygen demand,mg O2/l,5.1,6.2,0,25,0.204,0.248,0.04400000000000001,0.16666666666666666,0.033999999999999996,0.04133333333333333,0.0073333333333333375,,,,,,,
,,Total biotic,,,,,,,,,,0.5,0.27209523809523806,0.2684761904761905,-0.0036190476190475773,,,,,,,
,Landscape/seascape characteristics,,Intensity of surrounding land use within a 50m buffer area,% area with low intensity land use,39,33,0,100,0.39,0.33,-0.06,0.16666666666666666,0.065,0.055,-0.010000000000000002,,,,,,,
,,Total landscape/seascape,,,,,,,,,,,0.065,0.055,-0.010000000000000002,,,,,,,
,Total,,,,,,,,,,,1,0.5912619047619048,0.5559761904761905,-0.035285714285714254,,,,,,,
Seagrass,,,,,,,,,,,,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (0 - 1),,Change in indicator (level),Weight in aggregate index,Index values,,,,,,,,,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,,,Opening,Closing,Change*,,,,,,,
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,,,
,Abiotic characteristics,Physical state,Water clarity - turbidity,NTU,35,30,2000,0,0.9825,0.985,0.0024999999999999467,0.08333333333333333,0.081875,0.08208333333333333,0.00020833333333332427,,,Ecosystem condition account Stage 1,,,,
,,,Average patch size,m2,18.5,13.9,15,30,0.23333333333333334,0,-0.23333333333333334,0.08333333333333333,0.019444444444444445,0,-0.019444444444444445,,,Ecosystem condition account Stage 2,,,,
,,,,,,,,,,,,,,,,,,Ecosystem condition account Stage 3,,,,
,,Chemical state,Chlorophyll a concentration,ug/L,3.5,3.7,4,0.1,0.1282051282051282,0.07692307692307687,-0.05128205128205132,0.16666666666666666,0.021367521367521364,0.012820512820512811,-0.008547008547008553,,,,,,,
,,Total abiotic,,,,,,,,,,0.33,0.12268696581196581,0.09490384615384614,-0.027783119658119665,,,,,,,
,,,,,,,,,,,,,,,,,"Condition variables used in the seagrass ecosystem condition account: As for lakes and wetlands, nutrients and organic pollutants drive the condition of seagrass beds. This is reflected in variables like water clarity (here measured as turbidity ), chlorophyll a concentration and biological oxygen demand but also in fish species richness. Other variables in the condition account are important determinants of seagrass services such as habitat for juvenile fish or carbon sequestration: the average patch size of single sea grass beds, seagrass root density, and seagrass meadow cover.",,,,,
,Biotic characteristics,Compositional state,Fish species richness,Number of species per sampling event,3,2,0,10,0.3,0.2,-0.09999999999999998,0.16666666666666666,0.049999999999999996,0.03333333333333333,-0.016666666666666663,,,,,,,
,,Structural state,Seagrass shoot density,Number of shoots / m2,121,105,50,300,0.284,0.22,-0.06399999999999997,0.16666666666666666,0.047333333333333324,0.03666666666666667,-0.010666666666666658,,,,,,,
,,Functional state,Biological Oxygen Demand,mg/L,1.5,1.55,10,0,0.85,0.845,-0.0050000000000000044,0.16666666666666666,0.14166666666666666,0.1408333333333333,-0.0008333333333333526,,,,,,,
,,Total biotic,,,,,,,,,,0.5,0.239,0.21083333333333332,-0.028166666666666673,,,,,,,
,Landscape/seascape characteristics,,Seagrass meadow cover,%,35,29,10,60,0.5,0.38,-0.12,0.16666666666666666,0.08333333333333333,0.06333333333333332,-0.020000000000000004,,,,,,,
,,Total landscape/seascape,,,,,,,,,,,0.08333333333333333,0.06333333333333332,-0.020000000000000004,,,,,,,
,Total,,,,,,,,,,,1,0.4450202991452991,0.36907051282051284,-0.07594978632478627,,,,,,,
