NPV decomposition by ET,,,,,,,,,,,,,,,,,
Forest,,,,,,,,,,,,,,,,,
,Crop provisioning ,8080.9409325211345,8862.967474378018,8080.940932521133,8862.967474378016,,1939.4258238050722,2004.0733512652412,1939.4258238050718,2004.0733512652407,,15000,15500,16451.612903225807,17000,,
Results,,,,,,,,,,,,,,,,,
,,Area effect,Volume effect,Price effect,Total,,,,,,,,,,,,
,Crop provisioning ,16943.90840689915,47703.619053269904,0,64647.527460169054,,,,,,,,,,,,
,Total,16943.90840689915,47703.619053269904,0,64647.527460169054,,check,6.548361852765083e-11,,,,,,,,,
,Change in condition,"from ""Condition indices""",,,,,,0.0034166666666666234,,,,,,,,,
,Type of effect,,,,,Accounting entry,,,,,,,,,,,
,Area effect:,,,,,Ecosystem conversion,,,,,,,,,,,
,   Positive,,,,=>,   Additions,,16943.90840689915,,,,,,,,,
,   Negative,,,,=>,   Reductions,,0,,,,,,,,,
,Volume effect:,,If condition change:,,,,,,,,,,,,,,
,   Positive,,   Positive,,=>,Enhancement,,0,,,,,,,,,
,,,   Negative (or 0),,=>,Upward reappraisal,,47703.619053269904,,,,,,,,,
,   Negative,,   Positive (or 0),,=>,Downward reappraisal,,0,,,,,,,,,
,,,   Negative,,=>,Degradation,,0,,,,,,,,,
,Price effect:,,,,=>,Revaluation ,,0,,,,,,,,,
,,,,,,,check,0,,,,,,,,,
Urban area,,,,,,,,,,,,,,,,,
Basic data,,Area,,,Price,,,Expected flow,,Quantity,,,Volume (intensity),,,NPV,
,,a0,a1,(a1-a0),p0,p1,p1-p0,ES0,ES1,Q0,Q1,Q1-Q0,q0,q1,q1-q0,NPV0,NPV1
,,"from ""Extent""",,,px = NPVx / Qx,,,"from ""ES flows""",,Qx = Esx * asset life,,,qx = Qx / ax,,,"from ""NPV by ET""",
,Global climate regulation,50,50,0,10.774587910028178,11.205571426429305,0.43098351640112753,5,5,500,500,0,10,10,0,5387.293955014089,5602.785713214653
,Recreation-related,50,50,0,2.1549175820056354,2.154917582005636,0,2400,2600,240000,260000,20000,4800,5200,400,517180.21968135255,560278.5713214653
Decomposition components,,,,,,,,,,,,,,,,,
,,p0q0,p0q1,p1q0,p1q1,,p0a0,p0a1,p1a0,p1a1,,q0a0,q0a1,q1a0,q1a1,,
,Global climate regulation,107.74587910028177,107.74587910028177,112.05571426429304,112.05571426429304,,538.7293955014089,538.7293955014089,560.2785713214653,560.2785713214653,,500,500,500,500,,
,Recreation-related,10343.60439362705,11205.571426429304,10343.604393627053,11205.571426429307,,107.74587910028177,107.74587910028177,107.7458791002818,107.7458791002818,,240000,240000,260000,260000,,
Results,,,,,,,,,,,,,,,,,
,,Area effect,Volume effect,Price effect,Total,,,,,,,,,,,,
,Global climate regulation,0,0,215.49175820056377,215.49175820056377,,,,,,,,,,,,
,Recreation-related,0,43098.35164011271,0,43098.35164011271,,,,,,,,,,,,
,Total,0,43098.35164011271,215.49175820056377,43313.84339831328,,check,0,,,,,,,,,
,Change in condition,"from ""Condition indices""",,,,,,-0.019190476190476202,,,,,,,,,
,Type of effect,,,,,Accounting entry,,,,,,,,,,,
,Area effect:,,,,,Ecosystem conversion,,,,,,,,,,,
,   Positive,,,,=>,   Additions,,0,,,,,,,,,
,   Negative,,,,=>,   Reductions,,0,,,,,,,,,
,Volume effect:,,If condition change:,,,,,,,,,,,,,,
,   Positive,,   Positive,,=>,Enhancement,,0,,,,,,,,,
,,,   Negative (or 0),,=>,Upward reappraisal,,43098.35164011271,,,,,,,,,
,   Negative,,   Positive (or 0),,=>,Downward reappraisal,,0,,,,,,,,,
,,,   Negative,,=>,Degradation,,0,,,,,,,,,
,Price effect:,,,,=>,Revaluation ,,215.49175820056377,,,,,,,,,
,,,,,,,check,0,,,,,,,,,
Wetland,,,,,,,,,,,,,,,,,
Basic data,,Area,,,Price,,,Expected flow,,Quantity,,,Volume (intensity),,,NPV,
,,a0,a1,(a1-a0),p0,p1,p1-p0,ES0,ES1,Q0,Q1,Q1-Q0,q0,q1,q1-q0,NPV0,NPV1
,,"from ""Extent""",,,px = NPVx / Qx,,,"from ""ES flows""",,Qx = Esx * asset life,,,qx = Qx / ax,,,"from ""NPV by ET""",
,Global climate regulation,20,20,0,10.774587910028178,11.205571426429305,0.43098351640112753,20,19,2000,1900,-100,100,95,-5,21549.175820056356,21290.58571021568
,Water purification,20,20,0,43.09835164011272,43.09835164011272,0,7,7,700,700,0,35,35,0,30168.8461480789,30168.8461480789
Decomposition components,,,,,,,,,,,,,,,,,
,,p0q0,p0q1,p1q0,p1q1,,p0a0,p0a1,p1a0,p1a1,,q0a0,q0a1,q1a0,q1a1,,
,Global climate regulation,1077.4587910028179,1023.5858514526768,1120.5571426429306,1064.529285510784,,215.49175820056354,215.49175820056354,224.1114285285861,224.1114285285861,,2000,2000,1900,1900,,
,Water purification,1508.442307403945,1508.442307403945,1508.442307403945,1508.442307403945,,861.9670328022544,861.9670328022544,861.9670328022544,861.9670328022544,,700,700,700,700,,
Results,,,,,,,,,,,,,,,,,
,,Area effect,Volume effect,Price effect,Total,,,,,,,,,,,,
,Global climate regulation,0,-1099.007966822874,840.4178569821986,-258.5901098406755,,,,,,,,,,,,
,Water purification,0,0,0,0,,,,,,,,,,,,
,Total,0,-1099.007966822874,840.4178569821986,-258.5901098406755,,check,0,,,,,,,,,
,Change in condition,"from ""Condition indices""",,,,,,-0.035285714285714254,,,,,,,,,
,Type of effect,,,,,Accounting entry,,,,,,,,,,,
,Area effect:,,,,,Ecosystem conversion,,,,,,,,,,,
,   Positive,,,,=>,   Additions,,0,,,,,,,,,
,   Negative,,,,=>,   Reductions,,0,,,,,,,,,
,Volume effect:,,If condition change:,,,,,,,,,,,,,,
,   Positive,,   Positive,,=>,Enhancement,,0,,,,,,,,,
,,,   Negative (or 0),,=>,Upward reappraisal,,0,,,,,,,,,
,   Negative,,   Positive (or 0),,=>,Downward reappraisal,,0,,,,,,,,,
,,,   Negative,,=>,Degradation,,-1099.007966822874,,,,,,,,,
,Price effect:,,,,=>,Revaluation ,,840.4178569821986,,,,,,,,,
,,,,,,,check,0,,,,,,,,,
Seagrass,,,,,,,,,,,,,,,,,
Basic data,,Area,,,Price,,,Expected flow,,Quantity,,,Volume (intensity),,,NPV,
,,a0,a1,(a1-a0),p0,p1,p1-p0,ES0,ES1,Q0,Q1,Q1-Q0,q0,q1,q1-q0,NPV0,NPV1
,,"from ""Extent""",,,px = NPVx / Qx,,,"from ""ES flows""",,Qx = Esx * asset life,,,qx = Qx / ax,,,"from ""NPV by ET""",
,Wild fish biomass provisioning,50,50,0,43.96031867291496,159.46390106841704,115.5035823955021,20,6,2000,600,-1400,40,12,-28,87920.63734582992,95678.34064105022
,Global climate regulation,50,50,0,10.77458791002818,11.205571426429307,0.43098351640112753,250,250,25000,25000,0,500,500,0,269364.6977507045,280139.28566073265
,Recreation-related,50,50,0,2.1549175820056354,2.1549175820056354,0,800,700,80000,70000,-10000,1600,1400,-200,172393.40656045085,150844.23074039447
Decomposition components,,,,,,,,,,,,,,,,,
,,p0q0,p0q1,p1q0,p1q1,,p0a0,p0a1,p1a0,p1a1,,q0a0,q0a1,q1a0,q1a1,,
,Wild fish biomass provisioning,1758.4127469165983,527.5238240749795,6378.556042736682,1913.5668128210045,,2198.0159336457477,2198.0159336457477,7973.195053420852,7973.195053420852,,2000,2000,600,600,,
,Global climate regulation,5387.29395501409,5387.29395501409,5602.785713214654,5602.785713214654,,538.7293955014089,538.7293955014089,560.2785713214654,560.2785713214654,,25000,25000,25000,25000,,
,Recreation-related,3447.8681312090166,3016.8846148078896,3447.8681312090166,3016.8846148078896,,107.74587910028177,107.74587910028177,107.74587910028177,107.74587910028177,,80000,80000,70000,70000,,
Results,,,,,,,,,,,,,,,,,
,,Area effect,Volume effect,Price effect,Total,,,,,,,,,,,,
,Wild fish biomass provisioning,0,-142396.95381893238,150154.6571141527,7757.70329522033,,,,,,,,,,,,
,Global climate regulation,0,0,10774.587910028187,10774.587910028187,,,,,,,,,,,,
,Recreation-related,0,-21549.175820056353,0,-21549.175820056353,,,,,,,,,,,,
,Total,0,-163946.12963898873,160929.24502418088,-3016.8846148078337,,check,6.912159733474255e-11,,,,,,,,,
,Change in condition,"from ""Condition indices""",,,,,,-0.07594978632478627,,,,,,,,,
,Type of effect,,,,,Accounting entry,,,,,,,,,,,
,Area effect:,,,,,Ecosystem conversion,,,,,,,,,,,
,   Positive,,,,=>,   Additions,,0,,,,,,,,,
,   Negative,,,,=>,   Reductions,,0,,,,,,,,,
,Volume effect:,,If condition change:,,,,,,,,,,,,,,
,   Positive,,   Positive,,=>,Enhancement,,0,,,,,,,,,
,,,   Negative (or 0),,=>,Upward reappraisal,,0,,,,,,,,,
,   Negative,,   Positive (or 0),,=>,Downward reappraisal,,0,,,,,,,,,
,,,   Negative,,=>,Degradation,,-163946.12963898873,,,,,,,,,
,Price effect:,,,,=>,Revaluation ,,160929.24502418088,,,,,,,,,
,,,,,,,check,-1.0913936421275139e-11,,,,,,,,,
