Ecosystem Condition Indicator Accounts,,,,,,,,,,,
Forest,,,,,,,,,,,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,Change   
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,Abiotic characteristics,Physical state,Vegetation water content - NDWI,index (-1 to 1),-0.15,-0.13,-1,1,0.425,0.435,0.010000000000000009
,,Chemical state,Soil organic carbon,g SOC / kg,25.6,24.8,0,40,0.64,0.62,-0.020000000000000018
,Biotic characteristics,Compositional state,Farmland bird species richness,Farmland bird index,71,70,0,100,0.71,0.7,-0.010000000000000009
,,Structural state,Crop diversity,Simpsons diversity index,0.43,0.48,0,1,0.43,0.48,0.04999999999999999
,,,Share of organic farming,%,7.5,7.6,0,100,0.075,0.076,0.0010000000000000009
,,Functional state,Gross primary production,kg C/m2,0.92,0.94,0.5,1.3,0.525,0.5499999999999999,0.02499999999999991
,Landscape/seascape characteristics,,Share of semi-natural vegetation,%,5.1,4.9,0,20,0.255,0.24500000000000002,-0.009999999999999981
Urban area,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (rescaled),,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,Change   
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,Abiotic characteristics,Physical state,Imperviousness (soil sealed per area),%,55,57,0,100,0.55,0.57,0.019999999999999907
,,Chemical state,Nitrogen dioxide (NO2) concentration,ug/m3,10.5,12.3,0,40,0.2625,0.3075,0.044999999999999984
,Biotic characteristics,Compositional state,Bird species richness,Number per sampling day,53,45,0,75,0.7066666666666667,0.6,-0.10666666666666669
,,Structural state,Tree cover,%,31,30,0,70,0.44285714285714284,0.42857142857142855,-0.01428571428571429
,,Functional state,No variable selected,,,,,,,,
,Landscape/seascape characteristics,,Landscape mosaic - share of dominant natural land types in the surrounding landscape,%,56,52,0,100,0.56,0.52,-0.040000000000000036
Wetland,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (rescaled),,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,Change   
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,Abiotic characteristics,Physical state,Duration of water inundation/saturation,% time,97,89,0,100,0.97,0.89,-0.07999999999999996
,,Chemical state,Nitrogen concentration,total N mg/l,0.89,0.99,2,0,0.5549999999999999,0.505,-0.04999999999999993
,Biotic characteristics,Compositional state,Dragonfly and damselfly sepcies richness,number per sampling day,29,26,0,35,0.8285714285714286,0.7428571428571429,-0.08571428571428574
,,Structural state,Vegetation cover (native macrophytes),percentage area,30,31,0,50,0.6,0.62,0.020000000000000018
,,Functional state,Biological oxygen demand,mg O2/l,5.1,6.2,0,25,0.204,0.248,0.04400000000000001
,Landscape/seascape characteristics,,Intensity of surrounding land use within a 50m buffer area,% area with low intensity land use,39,33,0,100,0.39,0.33,-0.06
Seagrass,,,,,,,,,,,
,SEEA Ecosystem Condition Typology Class,,Variable descriptor,Measurement unit,Variable values (observed),,Reference level values,,Indicator values (rescaled),,
,,,,,Opening,Closing,Lower level,Upper level,Opening,Closing,Change   
,(1) ,(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,Abiotic characteristics,Physical state,Water clarity - turbidity,NTU,35,30,2000,0,0.9825,0.985,0.0024999999999999467
,,,Average patch size,m2,18.5,13.9,15,30,0.23333333333333334,0,-0.23333333333333334
,,Chemical state,Chlorophyll a concentration,ug/L,3.5,3.7,4,0.1,0.1282051282051282,0.07692307692307687,-0.05128205128205132
,Biotic characteristics,Compositional state,Fish species richness,Number of species per sampling event,3,2,0,10,0.3,0.2,-0.09999999999999998
,,Structural state,Seagrass shoot density,Number of shoots / m2,121,105,50,300,0.284,0.22,-0.06399999999999997
,,Functional state,Biological Oxygen Demand,mg/L,1.5,1.55,10,0,0.85,0.845,-0.0050000000000000044
,Landscape/seascape characteristics,,Seagrass meadow cover,%,35,29,10,60,0.5,0.38,-0.12
